,Equity,Rates,Credit,FX,Commodity,TrueRegime
2019-07-18,0.032153000703271394,-0.00687199621020433,0.0028548607892933293,-0.001360221892370084,0.045693771328450865,1
2019-07-19,-0.00458862748940017,0.0014499870327303339,-0.0033878574042597786,-0.0003201954513645431,0.01270010783927563,0
2019-07-22,0.01969335585900924,-0.00025719384636209777,0.004507359654113899,-0.0011444495984428316,0.010761828049531167,1
2019-07-23,0.0023294458690496234,-3.928346913038646e-05,-0.019999172281994756,-0.000842040373794093,0.0006136728900557178,1
2019-07-24,-0.0008310744255857602,-0.0012506623513650844,0.0059747983943270215,0.0024898815964938753,0.005062734104972244,0
2019-07-25,0.006628321962347873,-0.009950109429246456,0.02198129942561232,-0.02416572618107941,-0.0071117834463569705,2
2019-07-26,0.002702102216308953,0.0018280453131684787,0.004951998134830838,0.005099411120358636,0.013074427555285347,1
2019-07-29,-0.0013137746754353571,0.0007592559638236902,-0.004646498976502747,-0.007042112896327522,0.02646166702604171,1
2019-07-30,0.010550921377537617,-0.004268512559614195,0.004326579719557264,0.005320906434731741,-0.009689936642876321,0
2019-07-31,-0.007937687945181052,-0.001988089170062609,-0.000603208056163156,-0.004073371031528221,-0.0055169716598054116,0
2019-08-01,0.002898013828387432,0.013747031462157644,0.004461807716517523,-0.002123870632844283,0.004464558650053348,0
2019-08-02,-0.022536106752751937,0.014861454872486274,-0.013778318531513825,0.018170637245761904,-0.035128716552862774,2
2019-08-05,0.001736285884965412,-0.0025681904859973623,-0.0049732944606075405,0.00019928614129638355,-0.006417820497560478,1
2019-08-06,0.014080359098949185,-0.002530473985543057,0.0030588851104456707,0.0034693075589934327,0.0025322100862209375,1
2019-08-07,-0.0015380773606161655,-0.0018892386756483946,-4.154628359277277e-05,0.0005587040392131402,-0.0018483332433952512,0
2019-08-08,0.0018975757879843252,-0.0024078032116153754,0.001102000060699933,0.0013488456567245048,3.504297333909489e-05,0
2019-08-09,-0.003270010865944011,-0.001667326449043867,-0.003170593946951695,-0.0026628865467828427,-0.0018998286953455443,0
2019-08-12,5.8199078327765324e-05,0.0010636712811837755,0.0004867352666527156,-0.0036440088827041925,0.00027991687296484327,0
2019-08-13,-0.0035006060667379215,0.0006291672741866658,0.0054028862487156834,0.003464206182556372,-0.012842302631609178,1
2019-08-14,0.005586086439921654,-0.002976035741465338,0.004133297978719576,0.0009632128318960108,-0.02055243468037779,1
2019-08-15,-0.008052353375379248,0.0019589880556293657,0.001904821792513045,-0.0015940807669877536,-0.025897516457456547,1
2019-08-16,-0.005617991785359394,0.0007863263401448386,-0.0006161373784160297,-0.00013391155889572897,-0.0025169817358826033,0
2019-08-19,0.011860053676909761,0.00020860666140930906,0.011054701941295278,-0.013323310457402952,-0.06637956060548798,2
2019-08-20,-0.0028966814213777685,-0.004041015933760374,0.0005698986838611423,0.000668439127316658,0.0017851104810515548,1
2019-08-21,0.0063801623280620445,-0.00274456026409637,0.002441462620744908,0.002140082976898959,0.03261467172251831,1
2019-08-22,-0.005269944919550004,0.001995654829426935,-0.0018137198581100417,0.0010097554350629598,-0.006918423035680389,0
2019-08-23,0.0010759813098978523,-0.00253179919035802,0.0018912553833961517,0.002939773490055267,-0.0018342931590034747,0
2019-08-26,0.002832427372265611,-0.004575590258240279,-0.0028216867658244545,-0.003076401495142958,0.0033656327800765406,0
2019-08-27,-0.000993603270559679,-0.0053047092219258955,-0.0002736042797733773,0.005082037477504642,-0.006269773107106789,0
2019-08-28,0.00397658391388525,-0.0001006467034618079,-0.0012212076425813928,0.002308997085964514,-0.0027765333341395228,1
2019-08-29,-0.00292220399341271,0.0027082871936308013,-0.0007168472896627922,-0.00583918823118681,-0.011778295840768524,1
2019-08-30,-0.02660406896913784,0.004625478216190863,0.0010370417408287421,0.026884708303798223,0.0005371961273989187,2
2019-09-02,-0.0010161122118164012,-0.001902745984373924,-0.0037072657483324866,-0.00033049140400333917,-0.0010662492864931584,0
2019-09-03,0.010395824449226003,-0.00021993154637159207,-0.0058144295932860465,9.479442215724872e-05,0.0056848668396968375,0
2019-09-04,-0.002162322814463048,0.0012168796356299184,-0.015123178569485734,-0.004965565774707778,-0.006336402494054502,0
2019-09-05,0.002775625573363549,0.003318113196018088,0.0018808634771818014,-0.0005979495003308384,0.02363374375995585,0
2019-09-06,-0.001961885575362925,-0.00621527650513794,-0.0014513732227133798,0.003448011369822638,0.0038393969690013255,0
2019-09-09,0.0029774128385628585,0.0003581179254134231,0.001810700610825628,0.0004776239333979393,-0.008857572184211803,0
2019-09-10,0.008914713128633135,5.1682391218811094e-05,0.002923063364606595,0.0033433765864069676,0.0005820456341168957,0
2019-09-11,0.011386762861173854,-0.0020153435054976474,0.005869937509102936,0.002770348312373301,0.007271346620693147,1
2019-09-12,0.00638351692973069,-0.0009121453628534497,0.0050144945050917,-0.001236139447931927,0.0009535303161261968,0
2019-09-13,-0.010896444918187231,-0.0012789337665801948,-0.004228337620928978,-0.002996098234245866,-0.018163637277985818,1
2019-09-16,-0.0007462872711036226,-0.0044540159591258295,-0.006181109873884884,-0.00274324426710792,0.00851824569687007,1
2019-09-17,-0.01042038850954987,-0.0014432655521047942,-0.0047713487104818365,-0.004148522469898495,-0.01108050283679014,0
2019-09-18,-0.04961713837511364,0.009006558894161184,-0.00999878960578026,-0.009892971630325794,-0.019277896752517138,1
2019-09-19,-0.008189979204575952,0.0002733005263701692,-0.0058067029463593186,0.01278004779635554,0.007372589740648386,1
2019-09-20,-0.0018010168652786963,-0.0005600440090559938,-0.004356738917601273,-0.006752179016349901,-0.01438703996287929,0
2019-09-23,-0.001545825205712827,0.0002588950992220032,0.00037611552903182247,0.00019252450509160736,0.005647336028575211,0
2019-09-24,-0.007457976132603741,0.00029347266832232427,0.0002592652703490243,0.0004804038031096899,-0.0074992834710048036,1
2019-09-25,0.003916275355981826,-0.005500419163976936,0.002626811261285356,0.0015908598453792256,0.013526691729306485,0
