date,return,loss,VaR,CVaR,exception,method
2021-06-17,-0.0070344345604757596,0.0070344345604757596,0.01451279550563279,0.027136403374578105,0,regime_weighted
2021-06-18,-0.004451171709624431,0.004451171709624431,0.014496008497322197,0.025223625283020266,0,regime_weighted
2021-06-21,-0.007486629131284496,0.007486629131284496,0.014477093839683073,0.025223548839202206,0,regime_weighted
2021-06-22,-0.005221629611801133,0.005221629611801133,0.014457971642391845,0.025223466457643572,0,regime_weighted
2021-06-23,-0.0031901247160700274,0.0031901247160700274,0.014438505340577711,0.025223357004484307,0,regime_weighted
2021-06-24,2.5765759850279814e-06,-2.5765759850279814e-06,0.014419030188485213,0.025223251613222645,0,regime_weighted
2021-06-25,0.0010532347406659584,-0.0010532347406659584,0.014399635649555678,0.025223150985652518,0,regime_weighted
2021-06-28,0.005438909099901481,-0.005438909099901481,0.014382112803794818,0.025223139131709173,0,regime_weighted
2021-06-29,0.0024140605949202172,-0.0024140605949202172,0.014364361318203348,0.02522311656218626,0,regime_weighted
2021-06-30,-0.001422947863483896,0.001422947863483896,0.014346554302661968,0.02522309509176884,0,regime_weighted
2021-07-01,-0.0015374921805026945,0.0015374921805026945,0.01432895465531479,0.025223081949812893,0,regime_weighted
2021-07-02,-0.000961198520232991,0.000961198520232991,0.014311279344213884,0.025223066181850034,0,regime_weighted
2021-07-05,-0.0008407547220834957,0.0008407547220834957,0.014293945844753636,0.025223081921823966,0,regime_weighted
2021-07-06,-0.00040441592127929367,0.00040441592127929367,0.014276567533181114,0.025223088580172567,0,regime_weighted
2021-07-07,-0.004718376260701818,0.004718376260701818,0.014259267583008418,0.025223104099305185,0,regime_weighted
2021-07-08,0.0021097488951834858,-0.0021097488951834858,0.014241817371236202,0.025223109770516262,0,regime_weighted
2021-07-09,-0.0011368204735949764,0.0011368204735949764,0.01422441011054023,0.025223125786376067,0,regime_weighted
2021-07-12,0.0034254075498341536,-0.0034254075498341536,0.014207091010869255,0.02522314708107568,0,regime_weighted
2021-07-13,-0.003194044269300704,0.003194044269300704,0.01418966465563631,0.025223165967126007,0,regime_weighted
2021-07-14,-0.0013487132969875286,0.0013487132969875286,0.014172231553913832,0.02522319186594265,0,regime_weighted
2021-07-15,0.003851199772998401,-0.003851199772998401,0.014154770434649303,0.025223220140737933,0,regime_weighted
2021-07-16,-0.003419982658015251,0.003419982658015251,0.014137191711008653,0.025223245530073986,0,regime_weighted
2021-07-19,0.0006311717024423839,-0.0006311717024423839,0.014119519849435809,0.025223268419878247,0,regime_weighted
2021-07-20,0.006137618478245191,-0.006137618478245191,0.01410488640048656,0.02522341456730795,0,regime_weighted
2021-07-21,0.010049379192079527,-0.010049379192079527,0.014090275115955422,0.02522357057547352,0,regime_weighted
2021-07-22,0.0036128779544221186,-0.0036128779544221186,0.01407499016352821,0.025223702015202076,0,regime_weighted
2021-07-23,-0.008034602015843719,0.008034602015843719,0.01405957236534509,0.02522382398476784,0,regime_weighted
2021-07-26,-0.014667592430205477,0.014667592430205477,0.014043849214095594,0.02522393838976654,1,regime_weighted
2021-07-27,0.0036883386565638642,-0.0036883386565638642,0.014636878251684972,0.023945129317872894,0,regime_weighted
2021-07-28,0.003405038675319521,-0.003405038675319521,0.01463581449869663,0.02394523606313063,0,regime_weighted
2021-07-29,-0.006574038922883412,0.006574038922883412,0.01463474927119385,0.023945348588503872,0,regime_weighted
2021-07-30,-0.0024850385911800526,0.0024850385911800526,0.014633675337153658,0.02394546714685384,0,regime_weighted
2021-08-02,0.0003585160624839908,-0.0003585160624839908,0.014632601101035191,0.023945589330075002,0,regime_weighted
2021-08-03,0.006230273464664814,-0.006230273464664814,0.014631520358463046,0.0239457025249994,0,regime_weighted
2021-08-04,-0.011203079812956835,0.011203079812956835,0.014630431399239667,0.02394582838148753,0,regime_weighted
2021-08-05,-0.0026274468316808,0.0026274468316808,0.014629314877189782,0.02394594356422606,0,regime_weighted
2021-08-06,-0.007098534635883475,0.007098534635883475,0.014628192723460162,0.023946054120857183,0,regime_weighted
2021-08-09,-1.1111791089158281e-05,1.1111791089158281e-05,0.014627056661314806,0.023946155676370734,0,regime_weighted
2021-08-10,0.0013937462615572153,-0.0013937462615572153,0.014625921121755005,0.023946262504292024,0,regime_weighted
2021-08-11,-0.006360059115665053,0.006360059115665053,0.014624792602450701,0.023946380021583166,0,regime_weighted
2021-08-12,-0.02541596200121243,0.02541596200121243,0.014623656598482181,0.023946501285651164,1,regime_weighted
2021-08-13,-0.0033786432002081653,0.0033786432002081653,0.015239526194265085,0.026916177988124283,0,regime_weighted
2021-08-16,-0.004443487487140563,0.004443487487140563,0.015230675819798074,0.026916207687411767,0,regime_weighted
2021-08-17,-0.02370272144932595,0.02370272144932595,0.015221865838269786,0.026916244433174117,1,regime_weighted
2021-08-18,0.002023070404111015,-0.002023070404111015,0.02129762120809381,0.02866750647947862,0,regime_weighted
